ticket_id,ticket_text,category,priority,created_date
TKT-472074,The product quality has really gone down,product,low,2022-03-27
TKT-568644,I want to dispute this charge,billing,medium,2022-09-28
TKT-147863,Where is my order? It's been 2 weeks,shipping,high,2023-01-01
TKT-722295,I want to update my email address,account,medium,2023-12-07
TKT-321436,My package never arrived!!!,shipping,low,2023-01-24
TKT-731242,HOW DO I SKIP NEXT MONTH'S BOX?,product,high,2023-01-16
TKT-643414,I want to dispute this charge!!!,billing,low,2022-04-10
TKT-667061,I RECEIVED THE WRONG ITEMS IN MY BOX,shipping,low,2023-06-07
TKT-858234,How do I reset my password?,account,low,2022-05-08
TKT-493765,I can't log into my account,account,low,2022-06-20
TKT-925527,I want to dispute this charge!!!,billing,high,2023-04-20
TKT-417128,When is my next billing date?,billing,medium,2023-01-12
TKT-192166,MY ACCOUNT SEEMS TO BE HACKED,account,low,2023-09-01
TKT-117090,Can I customize what I receive?!!!,product,low,2022-03-24
TKT-647962,The product quality has really gone down,product,low,2023-05-02
TKT-303404,My package never arrived,shipping,low,2022-02-28
TKT-767619,MY BOX WAS DAMAGED WHEN IT ARRIVED!!!,shipping,medium,2022-01-23
TKT-693930,WHY DID MY PRICE INCREASE? I DIDN'T AUTHORIZE THIS,billing,low,2022-09-09
TKT-732126,JUST WANTED TO SAY I LOVE YOUR SERVICE!,other,medium,2022-10-05
TKT-395435,WHERE IS MY ORDER? IT'S BEEN 2 WEEKS,shipping,low,2022-09-05
TKT-835084,Can I change my shipping address?,shipping,medium,2023-04-17
TKT-748850,The items don't match what was advertised,product,medium,2022-10-05
TKT-925239,THE TRACKING NUMBER DOESN'T WORK,shipping,high,2022-07-22
TKT-905759,My package never arrived,shipping,low,2022-06-08
TKT-501800,CAN I PAUSE MY SUBSCRIPTION?,account,medium,2022-12-29
TKT-262418,Can I customize what I receive?,product,high,2023-01-26
TKT-861728,"I'm allergic to something in the box, what ingredients are used?",product,low,2023-12-01
TKT-559282,My box was damaged when it arrived,shipping,high,2023-04-26
TKT-853348,How do I cancel my membership?,account,low,2022-10-31
TKT-879924,My account seems to be hacked,account,medium,2022-01-30
TKT-546107,I RECEIVED THE WRONG ITEMS IN MY BOX,shipping,low,2023-12-07
TKT-521991,Can I customize what I receive?,product,medium,2022-12-05
TKT-770886,When is my next billing date?,billing,low,2022-08-04
TKT-590187,URGENT: I WANT TO UPDATE MY EMAIL ADDRESS,account,low,2023-01-25
TKT-993973,"Please refund my last payment, I meant to cancel!!!",billing,medium,2022-05-22
TKT-234235,How do I skip next month's box?,product,medium,2022-11-19
TKT-230729,URGENT: Can I change my shipping address?,shipping,medium,2022-04-04
TKT-551335,I want to dispute this charge,billing,low,2023-10-27
TKT-988149,I want to dispute this charge!!!,billing,low,2023-11-19
TKT-412828,I forgot my username,account,low,2022-06-08
TKT-101158,Why did my price increase? I didn't authorize this!!!,billing,low,2022-07-30
TKT-979351,I can't log into my account,account,low,2022-05-07
TKT-806367,Why is shipping taking so long?!!!,shipping,medium,2022-03-16
TKT-966389,WHY DID MY PRICE INCREASE? I DIDN'T AUTHORIZE THIS,billing,medium,2022-12-11
TKT-742686,"Please refund my last payment, I meant to cancel",billing,low,2022-09-22
TKT-381886,My box was damaged when it arrived,shipping,high,2022-04-22
TKT-407358,My account seems to be hacked,account,low,2023-10-15
TKT-200102,Do you ship internationally?,other,low,2022-03-10
TKT-547750,I received the wrong items in my box,shipping,low,2022-04-27
TKT-374517,"Please refund my last payment, I meant to cancel",billing,high,2023-08-30
TKT-904404,When is my next billing date?,billing,medium,2022-01-28
TKT-911926,MY ACCOUNT SEEMS TO BE HACKED,account,medium,2023-10-18
TKT-228252,HOW DO I CANCEL MY MEMBERSHIP?,account,medium,2022-05-21
TKT-165968,URGENT: I want to update my email address!!!,account,medium,2022-01-29
TKT-992722,My box was damaged when it arrived,shipping,medium,2023-01-24
TKT-725905,Do you ship internationally?!!!,other,medium,2022-01-12
TKT-814126,WHY DID MY PRICE INCREASE? I DIDN'T AUTHORIZE THIS,billing,medium,2023-05-16
TKT-396540,MY PACKAGE NEVER ARRIVED,shipping,low,2022-04-15
TKT-963791,How do I cancel my membership?,account,low,2022-09-11
TKT-158518,The items don't match what was advertised,product,medium,2023-02-16
TKT-395706,The product quality has really gone down!!!,product,medium,2023-10-28
TKT-883337,Can I change my shipping address?,shipping,high,2023-08-21
TKT-762011,I can't log into my account,account,low,2022-07-28
TKT-113018,I was charged twice for my subscription this month,billing,medium,2022-02-24
TKT-371922,THE ITEMS DON'T MATCH WHAT WAS ADVERTISED,product,low,2022-02-03
TKT-770673,CAN I SWITCH TO A CHEAPER PLAN?!!!,billing,medium,2023-01-05
TKT-404469,I received the wrong items in my box,shipping,high,2022-05-12
TKT-353180,I want to update my email address,account,low,2022-06-30
TKT-749559,I want to dispute this charge,billing,low,2022-03-19
TKT-797634,URGENT: The tracking number doesn't work,shipping,medium,2023-11-23
TKT-802114,HOW DO I SKIP NEXT MONTH'S BOX?!!!,product,low,2022-11-13
TKT-825849,THE PRODUCT QUALITY HAS REALLY GONE DOWN!!!,product,medium,2022-09-29
TKT-270543,The product quality has really gone down,product,low,2022-06-17
TKT-692374,URGENT: CAN I SWITCH TO A CHEAPER PLAN?!!!,billing,low,2023-10-25
TKT-898772,Where is my order? It's been 2 weeks,shipping,high,2023-03-11
TKT-345773,I forgot my username!!!,account,low,2023-03-25
TKT-344506,The product quality has really gone down,product,low,2023-11-01
TKT-792898,My account seems to be hacked,account,low,2022-09-08
TKT-767221,THE PRODUCT QUALITY HAS REALLY GONE DOWN!!!,product,low,2023-01-10
TKT-372159,My account seems to be hacked!!!,account,medium,2022-07-24
TKT-947053,I can't log into my account,account,low,2023-07-28
TKT-349951,The tracking number doesn't work,shipping,low,2022-09-29
TKT-157409,My account seems to be hacked,account,low,2023-11-17
TKT-112382,I forgot my username,account,low,2022-05-20
TKT-234065,URGENT: How do I cancel my membership?,account,high,2022-11-20
TKT-152500,I want to update my email address,account,medium,2023-03-11
TKT-616361,I forgot my username,account,medium,2022-05-03
TKT-836064,THE PRODUCT QUALITY HAS REALLY GONE DOWN,product,medium,2022-05-07
TKT-488231,I KEEP GETTING DUPLICATES OF ITEMS I ALREADY HAVE,product,medium,2023-02-24
TKT-584825,Can I pause my subscription?!!!,account,low,2022-04-22
TKT-820975,Can I change my shipping address?!!!,shipping,high,2023-12-03
TKT-185454,"Please refund my last payment, I meant to cancel",billing,low,2022-11-17
TKT-565845,The product quality has really gone down,product,low,2023-11-16
TKT-551389,THERE'S AN UNKNOWN CHARGE ON MY ACCOUNT FROM STREAMCART,billing,low,2023-09-29
TKT-855209,MY PACKAGE NEVER ARRIVED,shipping,low,2023-08-08
TKT-105704,I CAN'T LOG INTO MY ACCOUNT!!!,account,low,2024-01-03
TKT-607538,I forgot my username,account,medium,2023-09-18
TKT-898635,I keep getting duplicates of items I already have!!!,product,low,2022-11-15
TKT-494934,There's an unknown charge on my account from StreamCart,billing,medium,2022-10-04
TKT-980595,THE TRACKING NUMBER DOESN'T WORK!!!,shipping,low,2022-05-26
TKT-785455,How do I reset my password?,account,high,2023-02-28
TKT-772300,"Please refund my last payment, I meant to cancel",billing,medium,2023-12-20
TKT-302923,Where is my order? It's been 2 weeks,shipping,low,2022-03-29
TKT-886769,"I'm allergic to something in the box, what ingredients are used?",product,medium,2023-07-01
TKT-742415,CAN I CHANGE MY SHIPPING ADDRESS?,shipping,high,2022-10-09
TKT-987556,URGENT: I want to dispute this charge!!!,billing,low,2022-12-04
TKT-220894,I want to dispute this charge!!!,billing,medium,2022-11-19
TKT-182348,MY PACKAGE NEVER ARRIVED!!!,shipping,medium,2022-08-03
TKT-194782,Where is my order? It's been 2 weeks,shipping,low,2023-03-26
TKT-400478,What's coming in next month's box?!!!,other,high,2022-11-21
TKT-922496,Why did my price increase? I didn't authorize this,billing,medium,2023-07-03
TKT-957766,Where is my order? It's been 2 weeks,shipping,low,2022-06-07
TKT-571991,My package never arrived,shipping,medium,2023-02-16
TKT-602103,WHY DID MY PRICE INCREASE? I DIDN'T AUTHORIZE THIS,billing,high,2023-06-27
TKT-288964,How do I cancel my membership?!!!,account,low,2022-05-11
TKT-611816,Can I switch to a cheaper plan?,billing,low,2024-01-08
TKT-666578,JUST WANTED TO SAY I LOVE YOUR SERVICE!,other,low,2023-10-19
TKT-679398,THE PRODUCT QUALITY HAS REALLY GONE DOWN,product,medium,2023-10-02
TKT-186910,DO YOU SHIP INTERNATIONALLY?,other,low,2023-01-13
TKT-491343,I keep getting duplicates of items I already have,product,medium,2022-03-03
TKT-422147,CAN I CHANGE MY SHIPPING ADDRESS?,shipping,medium,2023-07-01
TKT-569370,The tracking number doesn't work,shipping,low,2022-04-20
TKT-295476,How do I reset my password?,account,high,2022-10-04
TKT-885692,My account seems to be hacked,account,low,2023-09-19
TKT-985138,The tracking number doesn't work,shipping,low,2023-08-18
TKT-141508,HOW DO I CANCEL MY MEMBERSHIP?,account,low,2023-11-04
TKT-898352,HOW DO I RESET MY PASSWORD?,account,low,2022-11-15
TKT-539214,My account seems to be hacked,account,medium,2022-02-02
TKT-305030,The items don't match what was advertised,product,low,2022-07-07
TKT-815337,THE TRACKING NUMBER DOESN'T WORK!!!,shipping,high,2022-07-16
TKT-421185,I can't log into my account,account,medium,2022-05-17
TKT-315431,I want to update my email address,account,low,2022-07-19
TKT-694174,I WAS CHARGED TWICE FOR MY SUBSCRIPTION THIS MONTH,billing,medium,2022-12-22
TKT-314966,URGENT: I forgot my username!!!,account,medium,2023-07-23
TKT-609002,I can't log into my account,account,medium,2023-01-15
TKT-667242,Just wanted to say I love your service!!!!,other,low,2023-08-31
TKT-989171,Can I change my shipping address?,shipping,high,2022-08-24
TKT-624482,Can I customize what I receive?,product,low,2022-12-23
TKT-501609,How do I skip next month's box?!!!,product,medium,2023-06-08
TKT-602543,How do I skip next month's box?,product,medium,2022-02-27
TKT-885386,WHY IS SHIPPING TAKING SO LONG?,shipping,low,2023-12-12
TKT-486681,URGENT: Do you ship internationally?!!!,other,low,2022-07-31
TKT-989931,I want to dispute this charge,billing,low,2023-11-17
TKT-298460,WHEN IS MY NEXT BILLING DATE?,billing,medium,2023-10-06
TKT-198971,The tracking number doesn't work,shipping,medium,2022-12-08
TKT-231822,THE PRODUCT QUALITY HAS REALLY GONE DOWN,product,medium,2023-10-23
TKT-610703,Can I gift a subscription to someone?,other,low,2022-06-25
TKT-951926,The items don't match what was advertised,product,medium,2023-06-05
TKT-299222,"Please refund my last payment, I meant to cancel",billing,high,2023-06-15
TKT-876580,What's coming in next month's box?,other,medium,2022-01-31
TKT-430174,I CAN'T LOG INTO MY ACCOUNT,account,medium,2022-12-11
TKT-422891,"I'm allergic to something in the box, what ingredients are used?",product,medium,2022-01-29
TKT-236284,I can't log into my account!!!,account,low,2023-05-23
TKT-826237,Can I pause my subscription?,account,low,2022-11-20
TKT-747033,I keep getting duplicates of items I already have,product,low,2022-02-16
TKT-661215,"I'm allergic to something in the box, what ingredients are used?",product,low,2023-05-25
TKT-686913,MY ACCOUNT SEEMS TO BE HACKED,account,medium,2024-01-04
TKT-716412,URGENT: THE PRODUCT QUALITY HAS REALLY GONE DOWN,product,medium,2023-11-13
TKT-285031,Can I pause my subscription?,account,high,2023-06-05
TKT-670245,Can I gift a subscription to someone?,other,low,2022-04-01
TKT-824560,Do you ship internationally?,other,low,2023-08-23
TKT-210959,"Please refund my last payment, I meant to cancel",billing,low,2023-12-04
